Dataset	BA	F1	MCC
I1/2 vs II	0.5526315789473684	0.8253968253968254	0.06101471101224984
I1/2 vs II	0.5182186234817814	0.812785388127854	0.02085563982342962
I1/2 vs II	0.5480316645271716	0.8192219679633868	0.05524200635370463
I1/2 vs II	0.5165892143088728	0.8426966292134833	0.020355400599092174
I1/2 vs II	0.48368421052631577	0.7815533980582523	-0.018324918599929407
I1/2 vs II	0.5491014120667522	0.8368953880764904	0.05843556578289268
I1/2 vs II	0.4960747456877488	0.8155111633372503	-0.004624555924609796
I1/2 vs II	0.5645884488096509	0.8717391304347826	0.08390145665006028
I1/2 vs II	0.4982721956406167	0.8027522935779816	-0.001954276386975921
I1/2 vs II	0.5001339907814342	0.8050749711649366	0.00015261521122357036
