Dataset	BA	F1	MCC
I vs I1/2	0.8517368421052631	0.9471502590673575	0.5263040958147738
I vs I1/2	0.7848513499317156	0.9543147208121827	0.4817868180466649
I vs I1/2	0.852568167406468	0.948024948024948	0.530706400147992
I vs I1/2	0.8099767491016698	0.9549180327868854	0.5121977183689994
I vs I1/2	0.8485789473684211	0.9569672131147541	0.5593821825807572
I vs I1/2	0.8730526315789473	0.9436325678496869	0.5372781407293906
I vs I1/2	0.814996829422955	0.9602446483180428	0.5416654656242225
I vs I1/2	0.7685057714709309	0.9365244536940687	0.4065981973825648
I vs I1/2	0.8637368421052631	0.9600818833162743	0.5878546814882754
I vs I1/2	0.6949259375984872	0.936734693877551	0.3172976874598374
