residueCode,smiles
03P,CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O
03X,CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC
0BX,c1ccc(cc1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O
0SQ,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)N
0T2,CC(C)(C#N)Oc1cccc(c1Cl)C(=O)Nc2cc(ccc2F)N(C)c3ccc4c(n3)sc(n4)NC(=O)C5CC5
1C9,COc1cc2c(cc1NC(=O)/C=C/CN3CCCCC3)c(ncn2)Nc4ccc(c(c4)Cl)F
1FV,c1cc(cc(c1)Nc2ncc(c(n2)NCCCNC(=O)C3CCC3)C4CC4)CN5CCOCC5
1N1,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl
1QK,CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)O)N4CCCC[C@H]4CCO
1SU,c1cc(cc(c1)C(F)(F)F)CC(=O)Nc2cc(ccc2F)Oc3ccc4c(c3C#N)sc(n4)NC(=O)C5CC5
1SW,c1cc(cc(c1)NC(=O)Nc2cc(ccc2F)Oc3ccc4c(c3C#N)sc(n4)NC(=O)C5CC5)C(F)(F)F
2HB,c1cc(n2c(c1)nc(n2)NC(=O)C3CC3)c4ccc(cc4)CN5CCS(=O)(=O)CC5
2VU,c1cc(cc(c1)C#N)Cn2cc(cn2)NC(=O)c3c4ccc(cc4[nH]n3)c5c[nH]nc5
324,CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)Cl)F
35R,c1cc2c(cc1CN3CCOCC3)nc([nH]2)c4c(c[nH]n4)NC(=O)NC5CC5
3K3,c1cc2c(cc1C(F)(F)F)nc([nH]2)[C@H]3[C@H]4[C@@H]3Oc5c4cc(cc5)Oc6ccnc7c6CCC(=O)N7
3QS,COC1CCN(CC1)c2nccc(n2)Nc3cc4c(ccn4C5CCCC5)cn3
3YT,c1cc(cc(c1)n2nccn2)Nc3c(cnc(n3)N[C@@H]4CCCC[C@@H]4N)C(=O)N
4SP,c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)S(=O)(=O)N
4T3,c1csc2c1nc(nc2Nc3cc([nH]n3)C4CC4)N5CCC(CC5)N
4T5,c1cnc(nc1Nc2cc(n[nH]2)C3CC3)NCC4CCC(CC4)N
4T6,c1cc2c(c(c1CNc3nccc(n3)Nc4cc([nH]n4)C5CC5)Cl)[nH]cn2
55J,Cn1c2ccc(cc2nc1Nc3ccc(cc3)C(F)(F)F)Oc4ccnc(c4)c5[nH]c(cn5)C(F)(F)F
584,C[C@@H]1C(=O)N(c2cnc(nc2N1CCC(C)C)Nc3cc(c(c(c3)F)O)F)C
59N,CCNc1ncc2c(n1)N(C(=O)C(=C2)c3ccc(cc3Cl)c4cncc(n4)C)CC5CCC(CC5)N
5BS,CN1c2ccsc2C(=O)N(c3c1nc(nc3)Nc4ccc(cc4)S(=O)(=O)N)C
6BZ,CC1=NC=CN(C1=O)c2ccc(c(c2)Cl)C3=Cc4cnc(nc4N(C3=O)CCCN)NC
6QB,Cn1c(ccn1)Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(c(c4)F)Cl
7DZ,C[C@H]1C(=O)N(c2cnc(nc2N1CCC(C)C)Nc3cc(c(c(c3)F)O)F)C
7XO,CC(C)n1c2c(cnc(n2)Nc3ccc(cc3)N4CCN(CC4)C)nc1Nc5ccccc5
7XR,CN1CCN(CC1)c2ccc(cc2)Nc3ncc4c(n3)n(c(n4)Nc5ccccc5)C6CCCC6
7XU,CN1CCN(CC1)c2ccc(cc2)Nc3ncc4c(n3)n(c(n4)Nc5ccccc5)C6CCCCC6
7YG,CN(C)CCNS(=O)(=O)c1ccc(cc1)c2cnc(c(n2)C(=O)Nc3cccnc3)N
7YS,Cc1c-2c(n(n1)CCO)CN(C(=O)c3ccc(c(c3[C@H](Oc4c(ncc2n4)N)C)Cl)F)C
ACP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(CP(=O)(O)O)O)O)O)N
ADP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
AGS,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O)N
ANP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
AQ4,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C
ATP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
AXI,CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4
B49,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C
B98,COc1ccc2c(c1)c3c(s2)C(=O)N[C@@H](CN3)CN
BX7,c1cc(cc(c1)NC(=O)N2CCCC2)Nc3ncc(c(n3)NCCCNC(=O)c4cccs4)I
C7Y,C[C@@H](c1ccc2c(n1)cc[nH]2)Nc3nccc(n3)Nc4cc([nH]n4)C5CC5
CK2,Cc1c(sc(n1)C)c2ccnc(n2)N
CK4,Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(cc3)C(F)(F)F
CK7,Cc1c(sc(n1)N)c2ccnc(n2)Nc3cccc(c3)[N+](=O)[O-]
CK8,Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(cc3)N(C)C
CMG,c1[nH]c2c(n1)c(nc(n2)N)OCC3CCCCC3
DB8,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC
DKI,c1cc(c(c(c1)F)NC(=S)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)N)N)F
DQX,c1cc(c2c(c1)ncc(n2)c3cnn(c3)C4CCNCC4)c5cc(c(c(c5)F)CN6CCOCC6)F
DT5,c1cc(ccc1Nc2cc(nc3n2ncn3)OC4CCCCC4)S(=O)(=O)N
DTQ,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O
EU4,CC(C)n1c2c(c(n1)C#Cc3cccc4c3cnc(c4)c5cccc(c5)C(F)(F)F)c(ncn2)N
EZV,CN1CCN(CC1)c2cccc3c2[nH]c(n3)c4c5ccc(cc5[nH]n4)c6ccc(cc6)N
F18,c1cc(ccc1/N=N\c2c([nH]nc2N)N)O
FB8,Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)C
FC8,CCn1cnc2c1nc(nc2Nc3cccc(c3)Cl)N[C@@H]4CCCC[C@@H]4N
GVD,c1ccc2c(c1)c(nc(n2)N=C3C=CC(C=C3)CC#N)Nc4cc([nH]n4)C5CC5
H8H,CN1CCN(CC1)CCOc2cc3c(c(c2)OC4CCOCC4)c(ncn3)Nc5c(ccc6c5OCO6)Cl
HKI,CCOc1cc2c(cc1NC(=O)CCCN(C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)OCc4ccccn4
IRE,COc1cc2c(cc1OCCCN3CCOCC3)/C(=N/c4ccc(c(c4)Cl)F)/N=CN2
J60,CCN(CC)CCNC(=O)c1c(c([nH]c1C)\C=C/2\c3cc(ccc3NC2=O)Cl)C
KS1,c1c[nH]c2c1cc(cn2)c3c4c(ncnc4n(n3)C5CCCC5)N
KSA,C[C@@]12[C@](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)(C(=O)OC)O
L0F,c1ccc(cc1)C(=O)Nc2c[nH]nc2c3[nH]c4ccccc4n3
LQQ,CC1=C(C(=O)N(c2c1cnc(n2)Nc3ccc(cn3)N4CCNCC4)C5CCCC5)C(=O)C
LZ9,c1cc(c(c(c1)F)C(=O)Nc2c[nH]nc2C(=O)Nc3ccc(cc3)F)F
MTW,c1cc(cc(c1)C2=N/C(=N\c3cccc(c3)[N+](=O)[O-])/N=CC2)Cn4cncn4
PP1,Cc1ccc(cc1)c2c3c(ncnc3n(n2)C(C)(C)C)N
PVB,CC(C)[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)Nc3ccc(c(c3)Cl)C(=O)O
QUE,c1cc(c(cc1C2=C(C(=O)c3c(cc(cc3O2)O)O)O)O)O
R09,Cc1cc(ccc1c2nc(c(n2C)c3ccc4cc(ccc4c3)OC)c5ccncc5)S(=O)(=O)C
RRC,CC[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3
SK8,c1cc(ccc1c2c(n3c(n2)SCC3)c4ccncc4)F
SKE,c1cc(c(c(c1)F)C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)N)N)F
STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C
STU,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC
SU9,COc1ccc2c(c1)/C(=C/c3cnc[nH]3)/C(=O)N2
VGH,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4
X11,c1ccc(c(c1)c2nc(nc(n2)N)N)O
YDJ,c1cc(cc(c1)F)c2cc(c(s2)C(=O)N[C@H]3CCCNC3)NC(=O)N
