cid	SMILES	Binding_Modes
9O5	CC(=O)CCc1cccc(c1)c2nc3cc(ccc3c(n2)NCCc4ccccc4)N	A
78W	CC(=O)CSC(=Nc1ccc(cc1)Cl)NC(=O)c2c(cccc2Cl)F	A
8ON	CC(=O)N1CCN(CC1)c2ccc(cc2)c3nc4cc(ccc4c(n3)NCCc5ccccc5)N	A
0R4	CC(=O)Nc1cccc(c1)c2ccc3c(n2)n(c(n3)c4cccnc4N)c5ccc(cc5)CNC(=O)c6cccc(c6)F	A
1BR	CC(C)(C)c1ccc(cc1)CNc2ccc3c(c2)-c4c(cnn4C)S(=O)(=O)N3C	A
AGY	CC(C)(C)c1ccc(cc1[N+](=O)[O-])C(=O)NNC(=O)Nc2cccc3c2cccc3	A
QWS	CC(C)Oc1ccc2cccc(c2c1)n3cc(c(n3)C(=O)N)NC(=O)N	A
A8Q	CC(C)c1ccccc1c2ccc(cc2Cl)CN	A
AGX	CC(c1[nH]c2ccccc2n1)OC(=O)Nc3ccc(c(c3)Cl)Cl	A
AAK	CCC(=O)N1CCN(c2c1cccc2)C(=O)OC(C)(C)C	A
9O2	CCC(=O)Nc1cccc(c1)c2nc3cc(ccc3c(n2)NCCc4ccccc4)N	A
38M	CCCCC(C(=O)N1CCCC2(C1)CCCNC2)Sc3nc4ccccc4c(=O)n3c5cccc(c5)Cl	A
46A	CCCCN(Cc1ccc(cc1)c2ccccc2c3n[nH]nn3)c4nc(cc(n4)C)C	A
1E0	CCCOc1ccc2cccc(c2c1)n3cc(c(n3)C(=O)N)NC(=O)N	A
S26	CCOC(=O)C1=C(C(=O)N(C1c2cccs2)c3nc4ccc(cc4s3)Cl)O	A
1YZ	CCOc1ccc2cccc(c2c1)n3cc(c(n3)C(=O)N)NC(=O)N	A
0O7	CCc1ccc(cc1)c2ccc3c(c2)-c4c(c[nH]n4)S(=O)(=O)N3C	A
0PF	CCc1ccc(cc1)c2ccc3c(c2)-c4c(cnn4CC)S(=O)(=O)N3C	A
AFW	COc1ccc(cc1c2ccc(cc2Cl)CN)C(F)(F)F	A
A5W	COc1ccccc1C2CCN(CC2)C(=O)C3CCC3	A
A5Z	Cc1c(c(no1)c2c(cccc2Cl)Cl)CO	A
J27	Cc1cc(ccc1c2ccc(cc2Cl)CN)F	A
AFK	Cc1ccc(c(c1)c2ccc(cc2Cl)CN)OC	A
RF4	Cc1cccc(c1OCCSc2nc3ccccc3n2CC(=O)O)C	A
A5K	c1c(cnc(c1Cl)N2CCCNCC2)C(F)(F)F	A
A6H	c1cc(c(c(c1)Cl)Oc2ccc(cn2)N)Cl	A
EZN	c1cc(c2cc[nH]c2c1)c3cc(cc(c3)Cl)CN	A
5DN	c1cc(cc(c1)Br)c2cc(c3cccc(c3n2)F)C(=O)O	A
3NE	c1cc(cc(c1)C(F)(F)F)c2c3c(cc(=O)[nH]c3[nH]n2)C(F)(F)F	A
A6E	c1cc(ccc1OCCC(=O)N2CCSCC2)F	A
CCX	c1cc2c(c[nH]c2c(c1)C(=O)NC3CCN(CC3)CCCCc4c[nH]c5c4cc(cc5)C#N)C#N	A
0SJ	c1cc2n(c(=O)c1)CC3CC2CN(C3)C(=O)c4ccc(cc4)Cl	A
SVQ	c1ccc(c(c1)C2C(CCC(=O)N2CCc3ccc(cc3)Cl)C(=O)O)Cl	A
21O	c1ccc(cc1)C(CC(=O)c2ccc(cc2)C(F)(F)F)C(C(=O)O)C(=O)O	A
MJF	c1ccc(cc1)C(CC(=O)c2ccc(cc2)Cl)C(C(=O)O)C(=O)O	A
8OK	c1ccc(cc1)CCNc2c3ccc(cc3nc(n2)c4ccc(cc4)N5CCOCC5)N	A
AU8	c1ccc(cc1)c2c(cc(cc2Cl)CN)Cl	A
IQO	c1ccc(cc1)c2c(nc3cc4c(cc3n2)nc[nH]4)c5ccc(cc5)CN6CCC(CC6)n7c8ccccc8[nH]c7=O	A
31S	c1ccc(cc1)c2ccc(cc2)C(=CC(=O)O)CCc3ccc(cc3)Cl	A
H83	c1ccc(cc1)c2ccc(cc2Cl)CNCCCCN	A
IRG	c1ccc(cc1)c2nc3cc(ccc3c(n2)NC4CC4)N	A
8OW	c1ccc(cc1)c2nc3cc(ccc3c(n2)NCc4ccc(cc4)F)N	A
8OH	c1ccc(cc1)c2nc3cc(ccc3c(n2)NCc4cccs4)N	A
5E1	c1ccc2c(c1)c(cc(n2)c3cccc(c3)Br)C(=O)O	A
9QK	c1ccc2c(c1)c(cc(n2)c3cccc(c3)F)C(=O)O	A
R1S	c1ccc2c(c1)c(cs2)S(=O)(=O)Nc3nc4ccc(cc4s3)Cl	A
R2S	c1ccc2c(c1)cc(s2)S(=O)(=O)Nc3nc4ccc(cc4s3)Cl	A
1WU	B1(c2cc(ccc2CO1)Oc3ccc(cc3F)CN)O	I
JK3	C#CCN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccc(o3)Br	I
E1B	C#Cc1cccc(c1)Nc2c3c(cncn3)c4ccc(cc4n2)C(=O)O	I
4B0	C(Cn1c2c(c(c(c(c2Br)Br)Br)Br)nn1)CO	I
JYM	C1CCC(CC1)COc2c3c([nH]c(n3)C(F)(F)F)nc(n2)N	I
HYM	C1CNC(=O)c2c(c(c([nH]2)Cl)Cl)C1=C3C(=O)N=C(N3)N	I
H8Z	C=CC(=O)N1CCCC(C1)n2c3c(c(n2)C#C)c(ncn3)N	I
6HL	C=CC(=O)N1CCCC(C1)n2c3c(c(n2)c4cccc5c4cccc5)c(ncn3)N	I
DJK	C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc3cccc(c3)Br	I
37Q	C=CC(=O)Nc1ccc2c(c1)n(cn2)c3cncc(n3)Nc4ccccc4	I
0US	C=CCNS(=O)(=O)c1cccc(c1)C(=O)Nc2nc3cc(ccc3n2C4CCC(CC4)CO)CN5CCCCC5	I
F29	C=CCn1c2c(cc(nn2)c3c4ccccn4nc3c5ccccc5)c(n1)N	I
KKR	CC(=CC(=O)CCC(=O)N1CCN(CC1)Cc2cc3c(s2)c(nc(n3)c4cccc5c4cn[nH]5)N6CCOCC6)C	I
ZAT	CC(=NNC(=N)N)c1ccc(cc1)NC(=O)Nc2ccc(cc2)C(=NNC(=N)N)C	I
NXP	CC(=NNC(=N)N)c1ccc(cc1)NC(=O)c2c[nH]c3c2cccc3	I
D1A	CC(=NNC(=N)N)c1ccc(cc1)NC(=O)c2cc3cccc(c3[nH]2)[N+](=O)[O-]	I
YIQ	CC(=NNC(=N)N)c1ccc2c(c1)cc([nH]2)C(=O)Nc3ccc4cc[nH]c4c3	I
XK9	CC(=NNC(=N)NO)c1ccc(cc1)NC(=O)c2cc3cccc(c3[nH]2)[N+](=O)[O-]	I
YCF	CC(=NNC(=NO)N)c1ccc(cc1)NC(=O)Nc2ccc(cc2)C(=NNC(=N)NO)C	I
HCW	CC(=NNC1=NCCN1)c2ccc(cc2)NC(=O)Nc3ccc(cc3)C(=NNC4=NCCN4)C	I
UPX	CC(=NNc1[nH]ccn1)c2ccc(cc2)NC(=O)c3cc4cccc(c4[nH]3)[N+](=O)[O-]	I
8M1	CC(=O)N(c1ccc(cc1)c2cnn(c2)C)C3CCC(CC3)Nc4ncc5ccccc5n4	I
9EM	CC(=O)N1CCN(C(=O)C1(C)C)c2cccc(c2)c3cc(c4n3ncnc4N)c5ccnn5CC(F)(F)F	I
