Type I vs Type II

Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_proba_1_0.99% 	 0.62649 	 0.00472 	 0.76464 	 0.01202 	 0.38054 	 0.01365 	 0.35 
Tanimoto_proba_2_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tanimoto_proba_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.99% 	 0.6161 	 0.0042 	 0.73247 	 0.01127 	 0.35139 	 0.01275 	 0.5 
Dice_proba_2_0.99% 	 0.60679 	 0.00298 	 0.68886 	 0.01286 	 0.32301 	 0.00954 	 0.35 
Dice_proba_3_0.99% 	 0.61527 	 0.00357 	 0.72353 	 0.01278 	 0.34913 	 0.01088 	 0.3 
Tversky_proba_1_0.99% 	 0.71019 	 0.01109 	 0.9077 	 0.00847 	 0.54095 	 0.01938 	 0.5 
Tversky_proba_2_0.99% 	 0.67865 	 0.00982 	 0.87387 	 0.01315 	 0.49391 	 0.01934 	 0.35 
Tversky_proba_3_0.99% 	 0.69131 	 0.00896 	 0.88673 	 0.0109 	 0.51935 	 0.01739 	 0.3 
Tanimoto_proba_1_0.9% 	 0.68664 	 0.01115 	 0.87027 	 0.01312 	 0.51661 	 0.02488 	 0.45 
Tanimoto_proba_2_0.9% 	 0.67412 	 0.0107 	 0.85873 	 0.01294 	 0.49305 	 0.02647 	 0.3 
Tanimoto_proba_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.9% 	 0.67173 	 0.00755 	 0.85446 	 0.00976 	 0.48836 	 0.0193 	 0.6 
Dice_proba_2_0.9% 	 0.66421 	 0.00866 	 0.84461 	 0.01341 	 0.47274 	 0.02107 	 0.45 
Dice_proba_3_0.9% 	 0.70809 	 0.01264 	 0.89595 	 0.01175 	 0.55742 	 0.02492 	 0.4 
Tversky_proba_1_0.9% 	 0.78631 	 0.01902 	 0.94371 	 0.00831 	 0.66127 	 0.02931 	 0.65 
Tversky_proba_2_0.9% 	 0.77233 	 0.01734 	 0.93781 	 0.00891 	 0.6541 	 0.02643 	 0.5 
Tversky_proba_3_0.9% 	 0.76086 	 0.01668 	 0.93268 	 0.00909 	 0.63897 	 0.02452 	 0.4 
Tanimoto_proba_1_0.8% 	 0.74653 	 0.0116 	 0.91998 	 0.00861 	 0.6218 	 0.02181 	 0.5 
Tanimoto_proba_2_0.8% 	 0.75307 	 0.01574 	 0.92503 	 0.01092 	 0.63223 	 0.02395 	 0.35 
Tanimoto_proba_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.8% 	 0.7224 	 0.01288 	 0.90492 	 0.01169 	 0.57855 	 0.02488 	 0.65 
Dice_proba_2_0.8% 	 0.72314 	 0.01758 	 0.90615 	 0.01287 	 0.58459 	 0.03403 	 0.5 
Dice_proba_3_0.8% 	 0.80426 	 0.01373 	 0.94912 	 0.00601 	 0.71396 	 0.02184 	 0.45 
Tversky_proba_1_0.8% 	 0.81769 	 0.02138 	 0.95264 	 0.00771 	 0.70837 	 0.02868 	 0.7 
Tversky_proba_2_0.8% 	 0.81959 	 0.01707 	 0.95456 	 0.00577 	 0.71675 	 0.02381 	 0.55 
Tversky_proba_3_0.8% 	 0.81146 	 0.01508 	 0.95274 	 0.00576 	 0.71151 	 0.01879 	 0.45 
Tanimoto_proba_1_0.5% 	 0.91991 	 0.00813 	 0.98143 	 0.003 	 0.88452 	 0.01447 	 0.6 
Tanimoto_proba_2_0.5% 	 0.94272 	 0.01209 	 0.98775 	 0.00274 	 0.92023 	 0.01761 	 0.45 
Tanimoto_proba_3_0.5% 	 0.95713 	 0.01225 	 0.99076 	 0.00293 	 0.93543 	 0.02019 	 0.4 
Dice_proba_1_0.5% 	 0.91991 	 0.00813 	 0.98143 	 0.003 	 0.88452 	 0.01447 	 0.75 
Dice_proba_2_0.5% 	 0.91117 	 0.01243 	 0.97943 	 0.0032 	 0.87074 	 0.01963 	 0.6 
Dice_proba_3_0.5% 	 0.94155 	 0.01306 	 0.98536 	 0.00292 	 0.90463 	 0.01786 	 0.55 
Tversky_proba_1_0.5% 	 0.86511 	 0.01422 	 0.96409 	 0.00314 	 0.77668 	 0.01907 	 0.75 
Tversky_proba_2_0.5% 	 0.95083 	 0.00937 	 0.9865 	 0.00192 	 0.90625 	 0.01368 	 0.65 
Tversky_proba_3_0.5% 	 0.94585 	 0.007 	 0.98525 	 0.00077 	 0.89678 	 0.00761 	 0.55 


Type I 1/2 vs Type II
Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_proba_1_0.99% 	 0.71089 	 0.01125 	 0.57081 	 0.02251 	 0.3987 	 0.0251 	 0.3 
Tanimoto_proba_2_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tanimoto_proba_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.99% 	 0.72396 	 0.01063 	 0.6479 	 0.02223 	 0.44687 	 0.02367 	 0.5 
Dice_proba_2_0.99% 	 0.72275 	 0.01039 	 0.60861 	 0.02821 	 0.43187 	 0.02531 	 0.35 
Dice_proba_3_0.99% 	 0.73508 	 0.00821 	 0.66651 	 0.01276 	 0.4726 	 0.01507 	 0.3 
Tversky_proba_1_0.99% 	 0.75667 	 0.01391 	 0.77557 	 0.02497 	 0.54097 	 0.03078 	 0.45 
Tversky_proba_2_0.99% 	 0.77847 	 0.01999 	 0.81086 	 0.02538 	 0.58664 	 0.04051 	 0.35 
Tversky_proba_3_0.99% 	 0.78195 	 0.01348 	 0.82787 	 0.0114 	 0.59271 	 0.0291 	 0.3 
Tanimoto_proba_1_0.9% 	 0.78944 	 0.01587 	 0.80323 	 0.02116 	 0.60583 	 0.03288 	 0.4 
Tanimoto_proba_2_0.9% 	 0.82765 	 0.01994 	 0.8535 	 0.02135 	 0.68637 	 0.03872 	 0.3 
Tanimoto_proba_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.9% 	 0.82485 	 0.01115 	 0.84905 	 0.01406 	 0.67845 	 0.02344 	 0.6 
Dice_proba_2_0.9% 	 0.82057 	 0.01576 	 0.84252 	 0.02421 	 0.66996 	 0.03166 	 0.45 
Dice_proba_3_0.9% 	 0.80347 	 0.01005 	 0.8198 	 0.01134 	 0.63651 	 0.02081 	 0.35 
Tversky_proba_1_0.9% 	 0.8174 	 0.01791 	 0.86644 	 0.01428 	 0.64812 	 0.03671 	 0.6 
Tversky_proba_2_0.9% 	 0.83343 	 0.01299 	 0.87845 	 0.01157 	 0.68434 	 0.02524 	 0.45 
Tversky_proba_3_0.9% 	 0.86131 	 0.01383 	 0.89894 	 0.01173 	 0.74129 	 0.02921 	 0.4 
Tanimoto_proba_1_0.8% 	 0.84558 	 0.01542 	 0.86831 	 0.01716 	 0.71813 	 0.03154 	 0.45 
Tanimoto_proba_2_0.8% 	 0.89328 	 0.01601 	 0.92 	 0.01361 	 0.805 	 0.03069 	 0.35 
Tanimoto_proba_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.8% 	 0.85798 	 0.01486 	 0.88535 	 0.01589 	 0.74071 	 0.02793 	 0.65 
Dice_proba_2_0.8% 	 0.88733 	 0.02171 	 0.91458 	 0.01927 	 0.79624 	 0.04103 	 0.5 
Dice_proba_3_0.8% 	 0.86009 	 0.01253 	 0.89224 	 0.01444 	 0.74599 	 0.02485 	 0.4 
Tversky_proba_1_0.8% 	 0.84183 	 0.01588 	 0.8799 	 0.0143 	 0.69657 	 0.03218 	 0.65 
Tversky_proba_2_0.8% 	 0.89923 	 0.00913 	 0.92425 	 0.00729 	 0.80515 	 0.01934 	 0.55 
Tversky_proba_3_0.8% 	 0.90993 	 0.01508 	 0.93322 	 0.01206 	 0.83054 	 0.0301 	 0.45 
Tanimoto_proba_1_0.5% 	 0.94932 	 0.01401 	 0.96191 	 0.01037 	 0.90484 	 0.02588 	 0.6 
Tanimoto_proba_2_0.5% 	 0.94052 	 0.01058 	 0.95702 	 0.00881 	 0.89073 	 0.02222 	 0.45 
Tanimoto_proba_3_0.5% 	 0.95154 	 0.01304 	 0.96605 	 0.00812 	 0.90988 	 0.02099 	 0.4 
Dice_proba_1_0.5% 	 0.94957 	 0.01267 	 0.96127 	 0.00841 	 0.9032 	 0.0214 	 0.75 
Dice_proba_2_0.5% 	 0.95103 	 0.01336 	 0.96672 	 0.00877 	 0.91017 	 0.02264 	 0.65 
Dice_proba_3_0.5% 	 0.94862 	 0.0159 	 0.96426 	 0.01037 	 0.90718 	 0.026 	 0.55 
Tversky_proba_1_0.5% 	 0.90058 	 0.02141 	 0.91797 	 0.01696 	 0.80291 	 0.0427 	 0.75 
Tversky_proba_2_0.5% 	 0.94688 	 0.01649 	 0.95975 	 0.01245 	 0.89498 	 0.03209 	 0.65 
Tversky_proba_3_0.5% 	 0.95037 	 0.0176 	 0.96597 	 0.01172 	 0.91075 	 0.02896 	 0.6 


Type I vs Type I 1/2 
Tanimoto_proba_1_0.99% 	 0.64009 	 0.00754 	 0.77458 	 0.02475 	 0.3263 	 0.01975 	 0.35 
Tanimoto_proba_2_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tanimoto_proba_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_proba_1_0.99% 	 0.63435 	 0.01028 	 0.77219 	 0.02026 	 0.31335 	 0.02105 	 0.5 
