Type I vs Type II

Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.99% 	 0.85433 	 0.02 	 0.96436 	 0.00468 	 0.72171 	 0.03538 	 0.35 
Tanimoto_top_2_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tanimoto_top_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.99% 	 0.85418 	 0.01982 	 0.96452 	 0.00461 	 0.7216 	 0.03474 	 0.45 
Dice_top_2_0.99% 	 0.87525 	 0.01824 	 0.9691 	 0.00381 	 0.75244 	 0.02631 	 0.3 
Dice_top_3_0.99% 	 0.88164 	 0.01856 	 0.96992 	 0.0039 	 0.75686 	 0.02928 	 0.3 
Tversky_top_1_0.99% 	 0.88655 	 0.01792 	 0.96511 	 0.00257 	 0.69265 	 0.02623 	 0.45 
Tversky_top_2_0.99% 	 0.90855 	 0.01143 	 0.97205 	 0.0022 	 0.75983 	 0.02083 	 0.3 
Tversky_top_3_0.99% 	 0.91011 	 0.01643 	 0.97213 	 0.00246 	 0.76161 	 0.02119 	 0.3 
Tanimoto_top_1_0.9% 	 0.86325 	 0.01887 	 0.96589 	 0.00477 	 0.74347 	 0.03574 	 0.45 
Tanimoto_top_2_0.9% 	 0.88117 	 0.01923 	 0.97059 	 0.00426 	 0.76914 	 0.03076 	 0.3 
Tanimoto_top_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.9% 	 0.85831 	 0.01889 	 0.96545 	 0.00482 	 0.73479 	 0.03683 	 0.6 
Dice_top_2_0.9% 	 0.87949 	 0.0182 	 0.97034 	 0.00405 	 0.76557 	 0.0295 	 0.45 
Dice_top_3_0.9% 	 0.89367 	 0.01979 	 0.97286 	 0.00397 	 0.78568 	 0.03118 	 0.4 
Tversky_top_1_0.9% 	 0.89325 	 0.01532 	 0.96544 	 0.00247 	 0.7088 	 0.02583 	 0.65 
Tversky_top_2_0.9% 	 0.91421 	 0.01184 	 0.97287 	 0.00289 	 0.77495 	 0.0251 	 0.5 
Tversky_top_3_0.9% 	 0.91558 	 0.01861 	 0.97292 	 0.00309 	 0.77365 	 0.02502 	 0.4 
Tanimoto_top_1_0.8% 	 0.88087 	 0.01251 	 0.97017 	 0.00321 	 0.78317 	 0.02526 	 0.5 
Tanimoto_top_2_0.8% 	 0.89835 	 0.02037 	 0.97401 	 0.00414 	 0.80411 	 0.03009 	 0.35 
Tanimoto_top_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.8% 	 0.87162 	 0.01664 	 0.96808 	 0.00424 	 0.76551 	 0.03145 	 0.65 
Dice_top_2_0.8% 	 0.88999 	 0.01905 	 0.97236 	 0.00392 	 0.7882 	 0.02825 	 0.5 
Dice_top_3_0.8% 	 0.91684 	 0.02121 	 0.97812 	 0.00448 	 0.83582 	 0.03199 	 0.45 
Tversky_top_1_0.8% 	 0.90432 	 0.01177 	 0.96795 	 0.00269 	 0.74319 	 0.02897 	 0.7 
Tversky_top_2_0.8% 	 0.92463 	 0.00792 	 0.97566 	 0.00234 	 0.80627 	 0.02095 	 0.55 
Tversky_top_3_0.8% 	 0.92685 	 0.01553 	 0.97604 	 0.00302 	 0.80589 	 0.02518 	 0.45 
