Cycle	Correct	Prediction	ActualClass	Similarity	smiles	randomCorrect
0	True	type1	type1	0.6354810238305383	"CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5"	True
0	True	type1	type1	0.5508474576271186	"Cc1cc([nH]n1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C"	True
0	True	type1	type1	0.8715596330275229	"COc1cc(cc(c1OC)OC)c2cc(cnc2)c3ccc(cc3)N4CCNCC4"	True
0	True	type1	type1	0.8545727136431783	"CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NCC4CC4"	True
0	True	type1	type1	0.6702412868632707	"COc1cc(cc(c1OC)OC)c2cc(cnc2N)c3cccc(c3)O"	True
0	True	type1	type1	0.6201550387596899	"c1cc(ccc1c2cnc3c(cnn3c2)c4ccncc4)OCCN5CCCCC5"	True
0	False	type1_2	type1	0.6633663366336634	"c1ccc2c(c1)c(ccn2)c3ccc4c(c3)C(=O)N(C=N4)c5ccc(cc5)N6CCOCC6"	True
0	False	type1_2	type1	0.6134094151212554	"Cc1c(ccc2c1C(=O)NC(=N2)C)c3ccnc4c3cccc4"	True
0	True	type1	type1	0.6576980568011958	"Cc1c(ccc2c1C(=O)NC=N2)c3cccc4c3cccn4"	True
0	True	type1	type1	0.8149779735682818	"Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C"	True
0	True	type1	type1	0.49321824907521583	"CCc1c[nH]c2c1c(ncn2)N3CC[C@@](C3)(CNC(=O)c4ccc(cc4F)F)N"	True
0	True	type1	type1	0.6900584795321637	"c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl"	True
0	True	type1	type1	0.5653710247349824	"c1c(c2c([nH]1)ncnc2[N@]3CCc4c(nc[nH]4)C3)Cl"	True
0	True	type1	type1	0.39874081846799575	"CCn1c2cc(nc(c2nc1C3=C(NON3)N)C#CC(C)(C)O)O[C@@H](CCN)c4ccccc4"	True
0	True	type1	type1	0.5061983471074379	"CCn1c2cc(nc(c2nc1c3c(non3)N)C#CC(C)(C)O)OC[C@@H](Cc4ccccc4)N"	False
0	True	type1	type1	0.40183696900114807	"CCn1c2c(cnc(c2nc1c3c(non3)N)C#CC(C)(C)O)OC[C@H]4CCCNC4"	False
0	True	type1	type1	0.7662835249042146	"c1cc(ccc1CNC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl"	True
0	True	type1	type1	0.6249999999999999	"Cc1c2cc(ccc2[nH]n1)c3cc(cnc3)OC[C@H](Cc4c[nH]c5c4cccc5)N"	False
0	True	type1	type1	0.5030674846625767	"c1cc2cnccc2c(c1)S(=O)(=O)NCCNCCOCc3ccc(cc3)Cl"	False
0	True	type1	type1	0.7380952380952381	"C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F"	True
0	True	type1	type1	0.46845124282982786	"CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C"	False
0	True	type1	type1	0.7052186177715091	"C[C@H](c1cc(ccc1OC)F)Oc2cc(cnc2N)c3cnnn3C"	True
0	True	type1	type1	0.5741626794258372	"Cn1cc(cn1)c2cc3c(c[nH]c3nc2)c4cnn(c4)Cc5cc(ccc5F)F"	True
0	True	type1	type1	0.7454017424975798	"COC(=O)C1CCC(CC1)n2c3cc(ccc3nc2NC(=O)c4ccccc4)CN5CCCCC5"	True
0	True	type1	type1	0.6459054209919262	"C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(nn3C)C4CC4)-c5cc(c(nc5)N)O1)C)F"	True
0	True	type1	type1	0.6888068880688807	"Cc1c-2c(n(n1)C)CN(C(=O)c3ccc(cc3[C@H](Oc4cc2cnc4N)C)F)C"	True
0	True	type1	type1	0.7742639040348964	"Cc1c(sc(n1)[C@@](C)(CO)O)c2cc(c(nc2)N)O[C@H](C)c3cc(ccc3N4NC=CN4)F"	False
0	False	type2	type1	0.8958566629339304	"Cc1cc(ccc1N)c2cc([nH]n2)NC(=O)c3ccc(cc3)CN4CCN(CC4)C"	True
0	True	type1	type1	0.908296943231441	"CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl"	True
0	True	type1	type1	0.7724867724867724	"Cc1cc(n[nH]1)n2cc(c3c2nc(cc3)N[C@@H](C)c4ccc(cn4)F)C(=O)N5CCOCC5"	True
0	True	type1	type1	0.6216931216931216	"Cc1cc(n[nH]1)c2cnc3n2nc(cc3)N[C@@H](C)c4ccc(cc4F)F"	True
0	True	type1	type1	0.7446808510638298	"CC[C@H](c1ccccc1)NC(=O)c2cc3c(s2)c(n[nH]3)NC(=O)c4ccc(cc4)N5CCN(CC5)C"	True
0	True	type1	type1	0.8658536585365854	"c1cc2c(cc1C[NH+]3CCOCC3)[nH]c([nH+]2)c4c(c[nH]n4)NC(=O)NC5CC5"	True
0	True	type1	type1	0.6152241918665275	"Cn1cc(cc1C(=O)N2CCN(CC2)C)Nc3ncc4cc(n(c4n3)C5CCCC5)C(=O)N"	False
0	True	type1	type1	0.6406685236768802	"CCc1cccc(c1NC(=O)n2cc\3c(c2)N=N/C3=N/C(=O)c4ccc(cc4)N5CCN(CC5)C)CC"	True
0	False	type1_2	type1	0.8366533864541832	"c1ccc(c(c1)C(F)(F)F)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O"	True
0	True	type1	type1	0.7738693467336684	"CS(=O)(=O)NCc1cccc(c1)c2cn3c(cnc3c(n2)Nc4ccc(cc4)N5CCOCC5)Cl"	True
0	True	type1	type1	0.9029649595687331	"c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCO"	False
0	True	type1	type1	0.8801955990220047	"CS(=O)(=O)Nc1ccc(cn1)Nc2ncc3cnn(c3n2)C4CCCCCC4"	True
0	True	type1	type1	0.6646525679758307	"CCOC(=O)c1c2c(c[nH]1)[C@@H](C3=C(CCCC3=N2)O)c4ccc(o4)Sc5[nH]c6ccccc6n5"	True
0	True	type1	type1	0.6629834254143646	"Cc1cc(n[nH]1)NC2=NN(C(=O)c3c2cccc3)c4ccccc4"	True
0	False	type1_2	type1	0.8076923076923076	"c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)OC(F)(F)F"	True
0	False	0	type1	0	"c1ccc(cc1)NC(=O)Nc2c[nH]nc2c3[nH]c4ccc(cc4n3)C[NH]5CCOCC5"	False
0	True	type1	type1	0.653153153153153	"c1ccc2c(c1)-c3cccnc3NC2=O"	True
0	True	type1	type1	0.8313908313908315	"c1ccc(cc1)NC(=O)Nc2ccc(cc2)CCNc3c4cc(oc4ncn3)c5ccc(cc5)OCCN6CCC(CC6)O"	True
0	True	type1	type1	0.8648648648648647	"c1ccc(c(c1)C(=O)N)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)N"	True
0	True	type1	type1	0.5107832009080591	"CC[N@](Cc1cc(sn1)Nc2c3ncc(n3cc(n2)C)c4c[nH]nc4)C(C)(C)CO"	True
0	True	type1	type1	0.5625	"Cc1cc(sn1)Nc2c3ncc(n3ccn2)c4c[nH]nc4"	True
0	False	type1_2	type1	0.8114285714285714	"c1cc(cc(c1)Nc2ccnc(n2)Nc3cccc(c3)NC(=O)C4CC4)C(F)(F)F"	True
0	True	type1	type1	0.6969026548672566	"c1cc(nc(c1)Nc2nccs2)CC3(CCC(CC3)Oc4cccc(c4F)Cl)C(=O)O"	False
0	True	type1	type1	0.4773662551440329	"C[C@H]1CN(C(=O)c2cc(ccc2O[C@H]1CN(C)Cc3ccc4c(c3)OCO4)NC(=O)Nc5ccc(cc5)OC)[C@@H](C)CO"	True
0	True	type1	type1	0.47745358090185674	"CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3"	False
0	True	type1	type1	0.8706786171574903	"CN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(c2)[nH]nc3NC(=O)C4CC4"	True
0	True	type1	type1	0.5336426914153132	"c1cc\2c(cc1c3cn(nc3c4ccncc4)C5CCNCC5)CC/C2=N\O"	True
0	False	type1_2	type1	0.507343124165554	"c1cc\2c(cc1c3cn(nc3c4ccncc4)CCO)CC/C2=N\O"	False
0	True	type1	type1	0.5882352941176471	"CN(C)CCOc1ccc(cc1)c2[nH]c(c(n2)c3ccc\4c(c3)CC/C4=N/O)c5ccncc5"	True
0	True	type1	type1	0.5567928730512249	"c1cnccc1c2c(cn(n2)C3CCNCC3)C4=CC5=CC6=CN=NC6=C5C=C4"	True
0	True	type1	type1	0.782122905027933	"c1cnc(nc1)c2c(c3ccncc3o2)Nc4ccc(c(c4)O)Cl"	False
0	True	type1	type1	0.5111402359108781	"CCOC(=O)c1c(c2ccncc2s1)NC3=CC4=CCC(=C4C=C3)NO"	True
0	True	type1	type1	0.925	"CNS(=O)(=O)c1ccc(c(c1)Nc2c3c(c[nH]c3ncn2)Cl)N4CCOCC4"	True
0	True	type1	type1	0.7470511140235911	"c1ccc2c(c1)/C(=C/3\C(=N\OCC[C@H](CO)O)\c4ccccc4N3)/C(=O)N2"	False
0	False	type1_2	type1	0.6593406593406593	"c1ccc2c(c1)nc-3n2C(=O)c4cccc5c4c3ccc5C(=O)O"	True
0	True	type1	type1	0.6114130434782608	"Cc1ccc(cc1O)NC2=NSN=C(C2=O)Nc3ccc(cc3)C(=O)N"	False
0	True	type1	type1	0.8823529411764706	"c1ccc(cc1)c2cc3c(coc3nc2)c4ccc(c(c4)C5CCCC5)C(=O)O"	True
