"ID","SimilarityMetric","Label1","evaluationMode","Label2","FingerprintRadius","Label3","similarityThreshold","Label4","BA","sdBA","Label5","F1","sdF1","Label6","MCC","sdMCC","Label7","nFound","sdnFound","Label8","nNotFound","sdnNotFound"
"9","TanimotoSimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.9,"ba:",0.5,0,"f1:",1,0,"mcc",0,0,"found:",6,2.09,"notFound",1005,2.29
"11","TanimotoSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.9,"ba:",0.5,0,"f1:",1,0,"mcc",0,0,"found:",6,2.09,"notFound",1005,2.29
"260","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.3,"ba:",0.55967,0.00479,"f1:",0.23937,0.03385,"mcc",0.11892,0.01696,"found:",1009,1.36,"notFound",2,1
"222","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.3,"ba:",0.56541,0.00417,"f1:",0.26172,0.0236,"mcc",0.13512,0.01141,"found:",1011,1.55,"notFound",1,0.46
"258","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.35,"ba:",0.5624,0.00596,"f1:",0.34718,0.04463,"mcc",0.14943,0.0219,"found:",1008,1.5,"notFound",3,0.83
"215","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.35,"ba:",0.57148,0.0028,"f1:",0.39811,0.01875,"mcc",0.18014,0.0081,"found:",1010,1.85,"notFound",1,1.04
"256","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.4,"ba:",0.57271,0.0075,"f1:",0.47377,0.05668,"mcc",0.19921,0.02852,"found:",1007,1.64,"notFound",5,1.33
"240","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.3,"ba:",0.57873,0.00396,"f1:",0.51025,0.01697,"mcc",0.22036,0.01251,"found:",1010,1.73,"notFound",2,1.1
"254","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.45,"ba:",0.58116,0.00673,"f1:",0.59126,0.04846,"mcc",0.23997,0.02394,"found:",1005,2.95,"notFound",7,2.6
"193","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.4,"ba:",0.5847,0.00242,"f1:",0.53188,0.01539,"mcc",0.24014,0.00781,"found:",1009,1.62,"notFound",2,1.11
"210","DiceSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.3,"ba:",0.58744,0.00291,"f1:",0.56764,0.01369,"mcc",0.25359,0.00911,"found:",1009,1.43,"notFound",2,1.14
"252","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.5,"ba:",0.59539,0.00717,"f1:",0.68472,0.04,"mcc",0.28936,0.02283,"found:",997,3.82,"notFound",14,3.38
"234","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.35,"ba:",0.59878,0.00328,"f1:",0.67292,0.01088,"mcc",0.29864,0.00976,"found:",1009,1.58,"notFound",2,1.02
"147","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.45,"ba:",0.59978,0.00266,"f1:",0.64971,0.01248,"mcc",0.29942,0.00837,"found:",1007,1.8,"notFound",4,1.78
"139","TanimotoSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.3,"ba:",0.60279,0.00292,"f1:",0.66919,0.01291,"mcc",0.30996,0.00905,"found:",1007,1.85,"notFound",5,1.67
"153","DiceSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.35,"ba:",0.60679,0.00298,"f1:",0.68886,0.01286,"mcc",0.32301,0.00954,"found:",1006,1.8,"notFound",5,1.6
"250","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.55,"ba:",0.6137,0.00735,"f1:",0.75944,0.02397,"mcc",0.34382,0.01941,"found:",989,4.3,"notFound",22,3.41
"169","DiceSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.3,"ba:",0.61527,0.00357,"f1:",0.72353,0.01278,"mcc",0.34913,0.01088,"found:",1005,1.9,"notFound",7,1.62
"141","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.5,"ba:",0.6161,0.0042,"f1:",0.73247,0.01127,"mcc",0.35139,0.01275,"found:",1004,2.49,"notFound",8,1.95
"228","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.4,"ba:",0.62334,0.00388,"f1:",0.77632,0.01037,"mcc",0.37007,0.01084,"found:",1008,1.5,"notFound",3,1
"119","TanimotoSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.35,"ba:",0.62649,0.00472,"f1:",0.76464,0.01202,"mcc",0.38054,0.01365,"found:",1002,2.34,"notFound",10,2.18
"232","TverskySimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.3,"ba:",0.62978,0.00304,"f1:",0.79201,0.00853,"mcc",0.38687,0.00846,"found:",1008,1.33,"notFound",4,1.3
"137","DiceSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.4,"ba:",0.62965,0.00464,"f1:",0.77058,0.01027,"mcc",0.38955,0.01329,"found:",998,3.67,"notFound",13,3.63
"6","TanimotoSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.9,"ba:",0.7,0.24495,"f1:",1,0,"mcc",0.4,0.4899,"found:",8,1.96,"notFound",1003,1.85
"7","TanimotoSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.9,"ba:",0.7,0.24495,"f1:",1,0,"mcc",0.4,0.4899,"found:",8,1.96,"notFound",1003,1.85
"10","TanimotoSimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.85,"ba:",0.7,0.24495,"f1:",1,0,"mcc",0.4,0.4899,"found:",9,2.1,"notFound",1002,2.24
"12","TanimotoSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.85,"ba:",0.7,0.24495,"f1:",1,0,"mcc",0.4,0.4899,"found:",9,2.1,"notFound",1002,2.24
