SimilarityMetric	Label1	evaluationMode	Label2	FingerprintRadius	Label3	similarityThreshold	Label4	BA	sdBA	Label5	F1	sdF1	Label6	MCC	sdMCC	Label7	nFound	sdnFound	Label8	nNotFound	sdnNotFound
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.90	ba:	0.96696	0.02795	f1:	0.96278	0.03152	mcc	0.93356	0.05443	found:	17	1.08	notFound	364	1.08
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.90	ba:	0.99167	0.02500	f1:	0.99091	0.02727	mcc	0.98539	0.04383	found:	15	2.39	notFound	366	2.39
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.90	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	10	1.97	notFound	371	1.97
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.90	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	6	1.56	notFound	375	1.56
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.90	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	9	2.51	notFound	372	2.51
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.85	ba:	0.98458	0.01293	f1:	0.98416	0.01331	mcc	0.96268	0.03079	found:	32	3.35	notFound	349	3.35
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.90	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	8	2.19	notFound	374	2.19
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.85	ba:	0.96508	0.03601	f1:	0.96550	0.03638	mcc	0.93901	0.06149	found:	14	2.93	notFound	368	2.93
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.85	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	10	1.49	notFound	371	1.49
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.85	ba:	0.97861	0.01153	f1:	0.98017	0.01017	mcc	0.95433	0.02322	found:	35	2.59	notFound	346	2.59
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.85	ba:	0.97272	0.03405	f1:	0.97450	0.03176	mcc	0.95083	0.06059	found:	15	2.65	notFound	366	2.65
